epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.2276,1.65404,2.58279,1.72191,0.46003,0.41578,0.38068,0.17097,1.94798,2.46471,2.02522,0.000554932,0.000554932,0.000554932
2,156.583,1.73593,2.14301,1.79341,0.5474,0.43766,0.44475,0.20381,1.96671,2.20139,2.12099,0.00108311,0.00108311,0.00108311
3,231.121,1.71547,2.04706,1.78293,0.4886,0.43222,0.39833,0.16059,2.16712,2.19778,2.33013,0.00158378,0.00158378,0.00158378
4,305.258,1.65357,1.93376,1.73852,0.65363,0.53026,0.57039,0.28419,1.82204,1.97421,1.91179,0.00154323,0.00154323,0.00154323
5,378.968,1.59332,1.78627,1.68677,0.69721,0.56922,0.634,0.33076,1.72746,1.65248,1.80626,0.00150197,0.00150197,0.00150197
6,452.825,1.53851,1.65612,1.63296,0.74911,0.63256,0.69731,0.40218,1.57474,1.50135,1.69026,0.00146071,0.00146071,0.00146071
7,526.77,1.497,1.57845,1.61005,0.77708,0.62099,0.70561,0.40171,1.58299,1.41925,1.7102,0.00141945,0.00141945,0.00141945
8,600.62,1.46827,1.5133,1.5769,0.78839,0.67142,0.7595,0.44439,1.52878,1.29293,1.63687,0.00137819,0.00137819,0.00137819
9,674.533,1.43799,1.44346,1.55328,0.77675,0.70414,0.76924,0.45725,1.45194,1.22659,1.56818,0.00133693,0.00133693,0.00133693
10,748.24,1.40324,1.38667,1.5234,0.7991,0.68251,0.77039,0.46335,1.49341,1.25266,1.62589,0.00129568,0.00129568,0.00129568
11,822.05,1.37088,1.32267,1.4969,0.80247,0.753,0.81722,0.50055,1.41511,1.10926,1.56214,0.00125442,0.00125442,0.00125442
12,895.855,1.35716,1.2996,1.49065,0.82651,0.72186,0.81132,0.50051,1.42567,1.12917,1.55083,0.00121316,0.00121316,0.00121316
13,969.565,1.32425,1.2499,1.46971,0.83113,0.754,0.8289,0.51449,1.35826,1.06188,1.50474,0.0011719,0.0011719,0.0011719
14,1043.37,1.319,1.23173,1.45752,0.83188,0.76664,0.83361,0.52698,1.3567,1.0525,1.50773,0.00113064,0.00113064,0.00113064
15,1117.17,1.29651,1.18624,1.43866,0.84329,0.77626,0.85129,0.54524,1.33525,0.99191,1.46988,0.00108938,0.00108938,0.00108938
16,1191.01,1.27848,1.14922,1.4234,0.85761,0.78345,0.86203,0.54709,1.34158,0.97594,1.48249,0.00104813,0.00104813,0.00104813
17,1265.01,1.26627,1.13215,1.41207,0.86832,0.78997,0.87467,0.57048,1.27533,0.94649,1.43161,0.00100687,0.00100687,0.00100687
18,1338.76,1.25368,1.10122,1.3976,0.88028,0.78545,0.87297,0.56816,1.29215,0.94346,1.44268,0.00096561,0.00096561,0.00096561
19,1412.55,1.23699,1.06775,1.38791,0.87597,0.79239,0.87007,0.55806,1.29862,0.92564,1.44685,0.000924352,0.000924352,0.000924352
20,1486.51,1.22104,1.05806,1.37793,0.87886,0.79257,0.87999,0.58149,1.2779,0.89978,1.42663,0.000883093,0.000883093,0.000883093
21,1560.44,1.19891,1.02161,1.35794,0.88119,0.80995,0.88894,0.58973,1.25459,0.86856,1.4046,0.000841835,0.000841835,0.000841835
22,1634.39,1.18781,1.01026,1.35247,0.90933,0.80475,0.88928,0.59218,1.22875,0.85151,1.38474,0.000800577,0.000800577,0.000800577
23,1708.22,1.17218,0.97803,1.33992,0.89597,0.8163,0.89271,0.59771,1.23899,0.82316,1.39588,0.000759318,0.000759318,0.000759318
24,1781.88,1.16058,0.9556,1.32945,0.90247,0.82213,0.90103,0.60925,1.21882,0.79747,1.37736,0.00071806,0.00071806,0.00071806
25,1855.55,1.14599,0.93568,1.32121,0.9073,0.82003,0.89922,0.61371,1.21271,0.80376,1.36504,0.000676802,0.000676802,0.000676802
26,1929.47,1.13549,0.9197,1.30777,0.89353,0.8334,0.90216,0.60743,1.20207,0.7996,1.3656,0.000635544,0.000635544,0.000635544
27,2003.1,1.12193,0.90005,1.29867,0.90369,0.83158,0.906,0.61618,1.19844,0.78092,1.36281,0.000594286,0.000594286,0.000594286
28,2076.97,1.10847,0.87935,1.28653,0.91989,0.81666,0.91093,0.61751,1.21403,0.77756,1.36362,0.000553027,0.000553027,0.000553027
29,2150.77,1.09533,0.86086,1.27762,0.92492,0.8285,0.91138,0.62421,1.19943,0.76973,1.35626,0.000511769,0.000511769,0.000511769
30,2224.51,1.08972,0.84511,1.27102,0.90014,0.84018,0.9083,0.62337,1.19211,0.76393,1.35133,0.000470511,0.000470511,0.000470511
31,2298.6,1.07363,0.64523,1.27207,0.90739,0.84631,0.91084,0.6222,1.18391,0.75958,1.35056,0.000429253,0.000429253,0.000429253
32,2372.16,1.02386,0.60565,1.23307,0.91576,0.84464,0.91055,0.63298,1.17259,0.73995,1.33267,0.000387994,0.000387994,0.000387994
33,2445.79,0.9983,0.58209,1.21971,0.90469,0.8572,0.91265,0.63145,1.1722,0.74075,1.34618,0.000346736,0.000346736,0.000346736
34,2519.1,0.97296,0.56379,1.20162,0.9167,0.84353,0.91301,0.63768,1.16589,0.73264,1.34473,0.000305478,0.000305478,0.000305478
35,2592.66,0.95826,0.54972,1.1942,0.92668,0.83766,0.9116,0.6374,1.17113,0.73294,1.34491,0.00026422,0.00026422,0.00026422
36,2666.41,0.93834,0.53056,1.17672,0.92475,0.84645,0.91063,0.6396,1.17093,0.7201,1.34466,0.000222961,0.000222961,0.000222961
37,2740.03,0.92219,0.51773,1.16427,0.91078,0.85278,0.91052,0.63953,1.17036,0.72809,1.34832,0.000181703,0.000181703,0.000181703
38,2813.61,0.9061,0.50857,1.15473,0.92447,0.83864,0.91199,0.64169,1.16216,0.72309,1.34188,0.000140445,0.000140445,0.000140445
39,2887.14,0.8866,0.49129,1.14317,0.92039,0.85277,0.91411,0.64419,1.15571,0.71517,1.34485,9.91865e-05,9.91865e-05,9.91865e-05
40,2960.41,0.88058,0.49047,1.13964,0.9231,0.84299,0.91449,0.64709,1.15172,0.7092,1.34236,5.79283e-05,5.79283e-05,5.79283e-05
